questid2,filedate,age2,mr30est
25374643,10/09/2020,9,93
49105743,10/09/2020,15,91
39915743,10/09/2020,13,91
38825743,10/09/2020,5,91
95125743,10/09/2020,17,93
20435743,10/09/2020,6,91
53135743,10/09/2020,15,91
25645743,10/09/2020,16,93
72375743,10/09/2020,15,93
17685743,10/09/2020,15,93
63896743,10/09/2020,7,99
41806743,10/09/2020,15,91
38106743,10/09/2020,1,91
15216743,10/09/2020,9,99
21426743,10/09/2020,11,99
77636743,10/09/2020,10,93
39576743,10/09/2020,15,99
27917743,10/09/2020,17,91
87727743,10/09/2020,16,91
29337743,10/09/2020,16,99
82747743,10/09/2020,1,91
61847743,10/09/2020,14,98
48957743,10/09/2020,12,91
65687743,10/09/2020,15,93
34118743,10/09/2020,2,91
79428743,10/09/2020,17,91
95158743,10/09/2020,13,93
15588743,10/09/2020,15,93
12699743,10/09/2020,3,91
93309743,10/09/2020,15,91
35109743,10/09/2020,4,93
29139743,10/09/2020,2,91
57049743,10/09/2020,16,93
59659743,10/09/2020,15,93
93689743,10/09/2020,16,91
19890743,10/09/2020,11,93
51400743,10/09/2020,15,93
11210743,10/09/2020,13,93
55430743,10/09/2020,14,93
71830743,10/09/2020,14,93
61350743,10/09/2020,6,91
99360743,10/09/2020,15,93
29791743,10/09/2020,5,91
10401743,10/09/2020,15,91
40211743,10/09/2020,12,91
93911743,10/09/2020,1,91
19121743,10/09/2020,10,91
65331743,10/09/2020,16,91
60541743,10/09/2020,2,91
27841743,10/09/2020,15,93
59451743,10/09/2020,16,93
80161743,10/09/2020,9,91
53671743,10/09/2020,15,99
11681743,10/09/2020,15,99
69402743,10/09/2020,15,93
23002743,10/09/2020,17,93
76322743,10/09/2020,5,91
73622743,10/09/2020,15,93
79022743,10/09/2020,17,93
29162743,10/09/2020,17,91
59782743,10/09/2020,16,91
91393743,10/09/2020,15,91
89593743,10/09/2020,14,99
31723743,10/09/2020,17,91
26743743,10/09/2020,1,91
17453743,10/09/2020,3,91
38163743,10/09/2020,2,91
41483743,10/09/2020,6,93
61294743,10/09/2020,4,91
67404743,10/09/2020,13,93
95604743,10/09/2020,15,93
24514743,10/09/2020,5,99
41624743,10/09/2020,8,91
50054743,10/09/2020,5,91
41764743,10/09/2020,11,91
21574743,10/09/2020,11,91
70095843,10/09/2020,5,91
72555843,10/09/2020,2,91
70755843,10/09/2020,2,91
39475843,10/09/2020,5,91
23696843,10/09/2020,17,91
45346843,10/09/2020,16,99
39756843,10/09/2020,13,93
75156843,10/09/2020,4,91
19566843,10/09/2020,16,93
19186843,10/09/2020,13,93
34207843,10/09/2020,1,91
21507843,10/09/2020,13,93
69707843,10/09/2020,13,91
53927843,10/09/2020,15,99
19137843,10/09/2020,2,91
45298843,10/09/2020,11,93
44398843,10/09/2020,11,99
91698843,10/09/2020,15,91
31408843,10/09/2020,15,93
74918843,10/09/2020,2,91
94538843,10/09/2020,3,91
11838843,10/09/2020,17,93
19748843,10/09/2020,13,93
65148843,10/09/2020,16,93
47568843,10/09/2020,15,93
83778843,10/09/2020,3,98
56099843,10/09/2020,10,99
21309843,10/09/2020,7,91
27329843,10/09/2020,12,91
34439843,10/09/2020,4,91
40839843,10/09/2020,6,91
89939843,10/09/2020,13,99
80549843,10/09/2020,12,99
19269843,10/09/2020,13,93
65289843,10/09/2020,15,91
99889843,10/09/2020,10,93
24190843,10/09/2020,1,91
61010843,10/09/2020,16,93
65420843,10/09/2020,11,91
51340843,10/09/2020,17,91
17550843,10/09/2020,13,93
43760843,10/09/2020,7,91
10870843,10/09/2020,15,93
48401843,10/09/2020,4,93
25701843,10/09/2020,8,99
13041843,10/09/2020,6,91
13471843,10/09/2020,15,93
83092843,10/09/2020,15,91
78302843,10/09/2020,5,91
45412843,10/09/2020,11,93
41812843,10/09/2020,16,99
99822843,10/09/2020,15,99
69342843,10/09/2020,17,91
56642843,10/09/2020,8,91
28252843,10/09/2020,4,91
32662843,10/09/2020,12,91
29582843,10/09/2020,13,93
87782843,10/09/2020,16,93
15982843,10/09/2020,14,93
23182843,10/09/2020,9,91
49673843,10/09/2020,8,98
35404843,10/09/2020,15,93
60524843,10/09/2020,1,91
61234843,10/09/2020,3,91
87344843,10/09/2020,14,99
84644843,10/09/2020,12,91
56874843,10/09/2020,11,91
43174843,10/09/2020,15,91
45395943,10/09/2020,13,93
61795943,10/09/2020,8,91
63925943,10/09/2020,9,99
37335943,10/09/2020,16,91
19845943,10/09/2020,15,93
83206943,10/09/2020,17,93
79606943,10/09/2020,6,91
85816943,10/09/2020,9,99
65626943,10/09/2020,16,93
98466943,10/09/2020,12,93
34866943,10/09/2020,14,93
19176943,10/09/2020,14,91
25197943,10/09/2020,12,93
89317943,10/09/2020,16,93
33727943,10/09/2020,13,93
39127943,10/09/2020,13,99
51257943,10/09/2020,13,91
14577943,10/09/2020,14,91
21877943,10/09/2020,1,91
83487943,10/09/2020,15,99
62587943,10/09/2020,10,99
29887943,10/09/2020,13,99
73298943,10/09/2020,17,91
99408943,10/09/2020,16,91
72728943,10/09/2020,13,91
39548943,10/09/2020,14,91
17748943,10/09/2020,15,93
11968943,10/09/2020,15,93
71588943,10/09/2020,15,93
47988943,10/09/2020,17,91
17509943,10/09/2020,12,93
50159943,10/09/2020,7,91
97079943,10/09/2020,10,91
28110943,10/09/2020,14,91
55220943,10/09/2020,8,91
13420943,10/09/2020,11,91
91140943,10/09/2020,17,91
79150943,10/09/2020,13,93
87160943,10/09/2020,10,91
22280943,10/09/2020,12,91
45501943,10/09/2020,15,93
